Rk,Year,Date,Tm,,Opp,Rslt,Name,Gcar,Gtm,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Name-additional
,,,,,,,Mike Witt,305,3,8-GF,S,99,2.0,0,0,0,0,2,0,0,0.00,,6,27,18,7,4,4,0,0,0,0,,0,0,0,6,0,0,0,0,0,0,1.82,0.272,2.49,0.22%,0.94,wittmi01
18,1976,Jul 28,CHW,@,OAK,W2-1,Blue Moon Odom,292,99,GS-6,W,3,5.0,0,1,0,9,3,0,0,3.31,,22,,,,,7,3,0,0,0,59,2,0,0,13,0,0,0,2,0,0,1.30,0.050,.08,0.00%,0.74,odombl01
,,,,,,,Francisco Barrios,23,99,6-GF,S,2,4.0,0,0,0,2,2,0,0,4.66,,13,,,,,6,3,0,0,0,,1,0,0,11,0,0,0,0,0,0,2.30,0.548,.14,0.02%,2.05,barrifr01
19,1975,Sep 28,OAK,,CAL,W5-0,Vida Blue*,198,162,GS-5,W,3,5.0,0,0,0,2,2,0,0,3.01,,17,,,,,4,9,1,0,0,67,1,0,0,15,0,0,0,1,0,1,.70,0.233,.00,0.00%,2.34,bluevi01
,,,,,,,Glenn Abbott,54,162,6-6,H,1,1.0,0,0,0,0,0,0,0,4.25,,3,,,,,2,1,0,0,0,,0,0,0,3,0,0,0,0,0,0,.60,0.045,.00,0.00%,0.47,abbotgl01
,,,,,,,Paul Lindblad*,523,162,7-7,H,0,1.0,0,0,0,0,1,0,0,2.72,,3,,,,,2,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,.58,0.043,.00,0.00%,0.47,lindbpa01
,,,,,,,Rollie Fingers,432,162,8-GF,,1,2.0,0,0,0,0,2,0,0,2.98,,6,,,,,3,1,0,0,0,,0,0,0,6,0,0,0,0,0,0,.10,0.016,.00,0.00%,0.94,fingero01
20,1967,Apr 30(1),BAL,,DET,L1-2,Steve Barber*,241,15,GS-9,L,6,8.2,0,2,1,10,3,0,2,0.77,,38,,,,,15,8,0,0,0,71,1,0,0,22,0,0,1,1,0,1,2.11,0.133,5.62,0.21%,2.25,barbest01
,,,,,,,Stu Miller,667,15,9-GF,,4,0.1,0,0,0,0,0,0,0,2.35,,2,,,,,2,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,2.93,-0.324,7.80,-0.52%,-0.56,millest01
21,1917,Jun 23(1),BOS,,WSH,W4-0,Babe Ruth*,97,57,GS-1,,2,0.0,0,0,0,1,0,0,0,2.35,,1,,,,,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,.87,-0.038,4.00,-0.10%,-0.36,ruthba01
,,,,,,,Ernie Shore,111,57,SHO,W,1,9.0,0,0,0,0,2,0,0,1.92,,26,,,,,14,10,1,3,0,,0,1,0,26,0,0,0,0,0,0,.73,0.488,3.36,1.35%,3.96,shoreer01
