
Rank	Player (yrs, age)	Wins Above Replacement	PA	IP	Bats/Throws
421.	Rocky Colavito (14)	44.9	7559	5.2	R
 	J.D. Drew (14)	44.9	6153		L
 	Paul Hines (20)	44.9	7470	1.0	R
 	Dixie Walker (18)	44.9	7669		L
425.	Bill Donovan (18)	44.8	1449	2964.2	B
 	Bill Freehan (15)	44.8	6900		R
 	Buster Posey (12)	44.8	5607		R
 	Red Schoendienst+ (19)	44.8	9224		B
429.	Jim Gilliam (17)	44.7	8887		B
 	Red Lucas (16)	44.7	1608	2542.0	L
 	Steve Rogers (13)	44.7	1045	2837.2	R
 	Giancarlo Stanton (15, 34)	44.7	6896		R
433.	Noodles Hahn (8)	44.6	813	2029.1	L
 	Chuck Knoblauch (12)	44.6	7387		R
435.	Lonny Frey (14)	44.5	6402		L
 	Matt Holliday (15)	44.5	7981		R
 	Troy Tulowitzki (13)	44.5	5415		R
 	Ben Zobrist (14)	44.5	6836	1.0	B
439.	Cupid Childs (13)	44.4	6770		L
 	Carlos Correa (10, 29)	44.4	4760		R
 	Carlos Delgado (17)	44.4	8657		L
 	Sam Thompson+ (15)	44.4	6526		L
443.	Nomar Garciaparra (14)	44.3	6116		R
 	Brett Gardner (14)	44.3	6614		L
 	Mel Harder (20)	44.3	1315	3426.1	R
446.	Steve Finley (19)	44.2	10460	1.0	L
 	Travis Jackson+ (15)	44.2	6682		R
448.	George Foster (18)	44.1	7812		R
449.	Rabbit Maranville+ (23)	44.0	11260		R
450.	Al Dark (14)	43.9	7833	1.0	R

 	Carlos Zambrano (12)	43.9	744	1959.0	B
452.	Gil Hodges+ (18)	43.8	8104		R
 	Shohei Ohtani (7, 29)	43.8	3602	481.2	L
 	Jimmy Ryan (18)	43.8	9127	117.0	R
 	Fred Tenney (17)	43.8	8834	2.0	L
456.	Al Oliver (18)	43.7	9778		L
 	Milt Pappas (17)	43.7	1176	3186.0	R
 	Bob Welch (17)	43.7	668	3092.0	R
459.	Julio Franco (23)	43.6	9731		R
 	Charlie Keller (13)	43.6	4604		L
461.	Adrián González (15)	43.5	8046		L
 	Jon Lester (16)	43.5	423	2740.0	L
 	Jack Morris+ (18)	43.5	1	3824.0	R
464.	Fielder Jones (15)	43.4	7924		L
465.	Gerrit Cole (12, 33)	43.3	286	1954.0	R
 	Curt Simmons (20)	43.3	1257	3348.1	L
467.	Dolph Camilli (12)	43.2	6354		L
 	Cliff Lee (13)	43.2	321	2156.2	L
469.	Hugh Duffy+ (17)	43.1	7842		R
 	Ned Garver (14)	43.1	962	2477.1	R
 	Mel Stottlemyre (11)	43.1	846	2661.1	R
472.	Tony Oliva+ (15)	43.0	6880		L
473.	Roger Bresnahan+ (17)	42.9	5389	50.1	R
474.	Amos Otis (17)	42.8	8247		R
475.	Ben Chapman (15)	42.7	7427	141.1	R
 	Jack Chesbro+ (11)	42.7	1155	2896.2	R
 	Sad Sam Jones (22)	42.7	1495	3883.0	R
 	Jorge Posada (17)	42.7	7150		B
 	Ken Williams (14)	42.7	5625		L
480.	Wally Berger (11)	42.6	5666		R
 	Elmer Smith (14)	42.6	5422	1210.1	L
482.	Schoolboy Rowe (15)	42.5	1023	2219.1	R
483.	José Canseco (17)	42.4	8129	1.0	R
 	Lenny Dykstra (12)	42.4	5282		L
 	Davey Lopes (16)	42.4	7340		R
 	Don Mattingly (14)	42.4	7722		L
487.	Hughie Jennings+ (18)	42.3	5648		R
488.	Felipe Alou (17)	42.2	7908		R
 	Harry Brecheen (12)	42.2	746	1907.2	L
 	Phil Rizzuto+ (13)	42.2	6719		R
491.	Nelson Cruz (19)	42.1	8396		R
 	Gary Gaetti (20)	42.1	9817	2.1	R
 	Yadier Molina (19)	42.1	8554	2.0	R
 	Darryl Strawberry (17)	42.1	6326		L
495.	John Candelaria (19)	41.9	688	2525.2	L
 	Harlond Clift (12)	41.9	6895		R
 	Curt Flood (15)	41.9	6958		R
 	Bill Nicholson (16)	41.9	6420		L
 	Plácido Polanco (16)	41.9	7887		R
 	Ken Singleton (15)	41.9	8559		B

 	Christian Yelich (12, 32)	41.9	6383		L
502.	Roy Campanella+ (18)	41.8	5727	15.1	R
 	Kid Gleason (22)	41.8	8211	2389.1	B
 	Jason Heyward (15, 34)	41.8	6900		L
 	Sam McDowell (15)	41.8	851	2492.1	L
506.	Doug DeCinces (15)	41.7	6534		R
 	Jason Kendall (15)	41.7	8702		R
508.	Dick Bartell (18)	41.6	8745		R
 	Jim Perry (17)	41.6	980	3285.2	B
510.	Eddie Stanky (11)	41.5	5439		R
 	Mike Tiernan (13)	41.5	6732	19.2	L
 	Fernando Valenzuela (17)	41.5	1044	2930.0	L
513.	George Van Haltren (17)	41.3	9020	689.1	L
 	Andy Van Slyke (13)	41.3	6495		L
515.	Jack Fournier (15)	41.2	6034	1.0	L
 	Claude Osteen (18)	41.2	1220	3460.2	L
517.	Tom Candiotti (16)	41.1	360	2725.0	R
 	Frank Dwyer (12)	41.1	1339	2819.0	R
 	Rich Gossage+ (22)	41.1	93	1809.1	R
