player_name,war,playerID
Jeff Pfeffer,38.5,pfeffje01
Lonnie Smith,38.5,smithlo01
Tim Wallach,38.5,wallati01
Johnny Callison,38.4,callijo01
Matt Chapman,38.4,chapmma01
Kirk Gibson,38.4,gibsoki01
Charlie Hough,38.4,houghch01
Ed Morris,38.4,morried02
Eric Chavez,38.3,chaveer01
Chili Davis,38.3,davisch01
Harry Davis,38.3,davisha02
Bill Madlock,38.3,madlobi01
Roger Maris,38.3,marisro01
Justin Turner,38.3,turneju01
Max Bishop,38.2,bishoma01
Ray Brown,38.2,brownra99
Sid Gordon,38.2,gordosi01
Ray Lankford,38.2,lankfra01
Josh Gibson,38.1,gibsojo99
Troy Glaus,38.1,glaustr01
Steve Garvey,38.0,garvest01
Hanley Ramirez,38.0,ramirha01
Carlos Santana,38.0,santaca01
Gus Weyhing,37.8,weyhigu01
Paul Blair,37.7,blairpa01
Jeff Heath,37.7,heathje01
Ernie Lombardi,37.7,lombaer01
Terry Turner,37.7,turnete01
Lu Blue,37.6,bluelu01
Frank Howard,37.6,howarfr01
George Kell,37.6,kellge01
Dick McAuliffe,37.6,mcauldi01
Charlie Root,37.6,rootch01
Jim Maloney,37.5,malonji01
Mark Gubicza,37.4,gubicma01
Jose Reyes,37.4,reyesjo02
Cy Williams,37.4,willicy01
Madison Bumgarner,37.3,bumgama01
Guy Hecker,37.3,heckegu01
John Lackey,37.3,lackejo01
George Springer,37.3,springe01
Jay Bell,37.1,bellja01
Andrelton Simmons,37.1,simmoan01
Dusty Baker,37.0,bakerdu01
Bullet Joe Bush,37.0,bushjo01
Fred Dunlap,37.0,dunlafr01
Dutch Leonard,37.0,leonadu02
Kip Selbach,37.0,selbaki01
Herman Long,36.9,longhe01
Kyle Seager,36.9,seageky01
Phil Cavarretta,36.8,cavarph01
Dick Groat,36.8,groatdi01
Garry Maddox,36.8,maddoga01
Corey Seager,36.8,seageco01
Rube Walberg,36.8,walberu01
Earl Whitehill,36.8,whiteea01
Jose Bautista,36.7,bautijo02
Wally Moses,36.6,moseswa01
Andy Pafko,36.6,pafkoan01
George Scott,36.6,scottge02
Mule Suttles,36.6,suttlmu99
Ray Caldwell,36.5,caldwra02
Candy Cummings,36.5,cummica01
Kevin Kiermaier,36.5,kiermke01
Bill Mazeroski,36.5,mazerbi01
Don Money,36.5,moneydo01
Jose Rijo,36.5,rijojo01
Bill Bradley,36.4,bradlbi01
Juan Soto,36.4,sotoju01
J.T. Realmuto,36.3,realmjt01
Trea Turner,36.3,turnetr01
Rick Wise,36.3,wiseri01
Don Buford,36.2,bufordo01
Johnny Cueto,36.2,cuetojo01
Eric Davis,36.1,daviser01
Art Devlin,36.1,devliar01
Cecil Cooper,36.0,coopece01
Paul Derringer,36.0,derripa01
Bob Rush,36.0,rushbo01
Fritz Ostermueller,35.9,osterfr01
Freddy Parent,35.9,parenfr01
Jim Bottomley,35.8,bottoji01
Freddie Fitzsimmons,35.8,fitzsfr01
Wally Joyner,35.8,joynewa01
Josh Beckett,35.7,beckejo02
Tommy Holmes,35.7,holmeto01
Willie Kamm,35.7,kammwi01
Danny Murphy,35.7,murphda04
Ed Williamson,35.7,willine01
Burt Hooton,35.6,hootobu01
Deacon Phillippe,35.6,phillde01
Ed Reulbach,35.6,reulbed01
Edwin Encarnacion,35.5,encared01
Denny Lyons,35.5,lyonsde01
Salvador Perez,35.5,perezsa02
Mickey Vernon,35.5,vernomi01
Dave Foutz,35.4,foutzda01
Miller Huggins,35.4,huggimi01
Rick Rhoden,35.4,rhoderi01
Aaron Nola,35.3,nolaaa01
Jack Taylor,35.3,tayloja02
Zack Wheeler,35.2,wheelza01
Dan Haren,35.1,harenda01
Jerry Reuss,35.1,reussje01
Doyle Alexander,35.0,alexado01
Brady Anderson,35.0,anderbr01
George Burns,35.0,burnsge02
Tom Gordon,35.0,gordoto01
Bump Hadley,35.0,hadlebu01
Howie Kendrick,35.0,kendrho01
Brickyard Kennedy,35.0,kennebr01
Eddie Yost,35.0,yosted01
Ron Fairly,34.9,fairlro01
Will White,34.9,whitewi01
Jimmy Dykes,34.8,dykesji01
Frank White,34.8,whitefr01
Cool Papa Bell,34.7,bellco99
Shawn Green,34.7,greensh01
Stuffy McInnis,34.7,mcinnst01
Claude Ritchey,34.7,ritchcl01
Bobby Shantz,34.7,shantbo01
Shin-Soo Choo,34.6,choosh01
Carl Furillo,34.6,furilca01
Derrek Lee,34.6,leede02
Jered Weaver,34.6,weaveje02
Jeff Cirillo,34.5,cirilje01
